StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q87,JC1 ,LQ2,PP3,MM4,HZ5,GA6,DM7,AB8 ,AI9 ,BO10,BR11 ,CA12 ,DH13,EX14,GE15 ,GO16 ,HY17,JF18,LA19 ,LS20,NO21,PE22 ,PL23 ,PR24 ,PS25 ,SI26,TU27 ,TY28 ,VI29,WCH30,WCL31,WH32,WT33,XX34 ,RU35 ,QI36,Q41,Q42,Q43,Q44,Q45,Q46,Q84_1,SC0,id,Points
9/22/25 16:25,9/22/25 16:52,0,47.230.48.130,100,1632,1,9/22/25 16:52,R_53mq1CMxrxHueQZ,,,,,40.7043,-73.8045,anonymous,EN,1,1,1,1,5,1,1,4,5,1,1,3,1,5,1,4,4,1,3,1,3,1,5,1,5,4,5,5,3,1,1,1,3,1,1,3,4,3,2006,2,2,1,2,1,5,28.5,32827,0
9/22/25 21:46,9/22/25 21:55,0,104.28.204.175,100,546,1,9/22/25 21:55,R_5fp9MngWiatqrcf,,,,,40.7126,-74.0066,anonymous,EN,1,1,3,1,5,1,1,3,5,1,1,3,1,3,1,4,5,1,1,3,1,1,1,3,1,1,3,5,1,1,1,5,1,3,1,1,1,1,2005,1,2,2,1,1,7,31,32252,0
9/22/25 21:56,9/22/25 22:01,0,149.4.123.15,100,293,1,9/22/25 22:01,R_1Oems5j7tQ0L0yQ,,,,,40.7297,-73.8163,anonymous,EN,1,1,1,1,5,2,1,4,1,1,1,1,1,2,1,4,4,1,4,1,5,1,1,2,5,1,1,5,1,1,1,4,1,4,1,1,1,1,2005,1,2,2,1,1,7,28,32252,0
9/22/25 22:01,9/22/25 22:03,0,149.4.123.15,100,106,1,9/22/25 22:03,R_5rHKZYjVfppJo2Z,,,,,40.7297,-73.8163,anonymous,EN,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005,1,2,2,1,1,5,34,32252,0
9/23/25 9:57,9/23/25 10:30,0,74.101.137.82,100,1968,1,9/23/25 10:30,R_1hOPI5i31eor7Et,,,,,40.8,-73.9763,anonymous,EN,1,2,2,1,5,5,1,4,5,4,1,5,3,2,3,3,2,5,3,1,1,1,2,2,4,1,3,5,4,2,1,2,3,3,1,4,3,5,2007,1,2,1,1,2,5,25,32685,0
9/23/25 12:25,9/23/25 12:34,0,108.41.51.128,100,539,1,9/23/25 12:34,R_7fvLMP6cwgrO4Dy,,,,,40.7292,-73.7514,anonymous,EN,1,1,2,1,5,4,2,4,4,3,1,5,1,4,2,4,5,2,3,4,5,2,5,3,4,4,5,5,3,1,5,4,5,4,5,1,1,3,2007,2,2,1,1,2,3,17.5,32748,0
9/23/25 12:35,9/23/25 12:41,0,108.41.51.128,100,380,1,9/23/25 12:41,R_5ilQovjkbICkSRC,,,,,40.7292,-73.7514,anonymous,EN,1,1,1,1,5,4,1,3,2,1,2,4,2,4,4,4,4,2,4,3,5,1,5,3,2,4,4,4,2,1,4,3,2,4,5,3,5,1,2007,2,2,1,1,2,3,17,32748,0
9/23/25 15:43,9/23/25 16:54,0,24.228.121.197,100,4255,1,9/23/25 16:54,R_1h9nTWZ7adiOPBa,,,,,40.665,-73.9523,anonymous,EN,1,1,3,1,5,3,1,5,4,4,1,1,1,3,3,2,5,4,3,3,5,2,5,2,5,2,3,5,4,2,1,4,1,2,1,2,4,3,2007,2,2,1,2,1,5,22.5,32894,0
9/23/25 17:36,9/23/25 18:00,0,68.192.52.162,100,1471,1,9/23/25 18:00,R_6ek3ElyqSjP1aah,,,,,40.6952,-73.6596,anonymous,EN,1,1,3,1,5,5,1,5,3,3,2,4,4,4,4,4,3,3,1,2,2,1,1,1,5,2,2,5,4,2,1,4,2,3,1,2,2,3,Jaiden Threewitts,1,2,1,1,2,5,16,32880,0
9/23/25 19:00,9/23/25 19:39,0,47.230.109.76,100,2310,1,9/23/25 19:39,R_3fHVLrDNXQgENSV,,,,,40.7123,-73.7985,anonymous,EN,1,1,1,4,3,5,1,1,5,1,1,1,1,2,1,5,3,1,4,2,5,1,4,1,4,1,4,4,1,2,1,4,1,1,2,1,1,1,2006,2,2,2,1,3,7,29.5,32654,0
9/23/25 19:31,9/23/25 19:43,0,67.86.179.223,100,717,1,9/23/25 19:43,R_3E6L1N836vBzbph,,,,,40.6981,-73.7053,anonymous,EN,1,2,2,5,2,5,1,3,4,3,1,4,1,5,4,3,5,5,4,1,5,1,5,1,2,5,2,3,1,3,1,5,1,4,5,1,3,4,09/01/05,1,2,1,1,1,5,21.5,32821,0
9/23/25 19:40,9/23/25 19:54,0,47.230.109.76,100,844,1,9/23/25 19:54,R_1Ra1HwtsHou3xaH,,,,,40.7123,-73.7985,anonymous,EN,1,1,1,1,5,5,1,1,5,1,1,1,1,4,1,5,5,1,5,3,5,1,1,2,5,3,4,5,1,1,1,1,1,1,1,1,1,1,2006,2,2,2,1,3,6,28.5,32654,0
9/23/25 19:29,9/23/25 19:57,0,96.224.80.254,100,1662,1,9/23/25 19:57,R_6PzadnPLYc77tme,,,,,40.7109,-73.7388,anonymous,EN,1,1,1,1,2,3,1,3,4,1,1,4,1,1,1,3,1,1,1,1,5,1,1,1,3,1,3,3,5,1,1,5,1,1,1,1,5,3,1994,1,2,2,1,2,8,33.5,32717,0
9/23/25 19:58,9/23/25 20:04,0,96.224.80.254,100,371,1,9/23/25 20:04,R_3r2lf8QIceRh9CN,,,,,40.7109,-73.7388,anonymous,EN,1,1,1,1,5,3,1,5,2,1,1,1,1,1,1,4,4,1,2,1,1,1,3,1,3,4,1,4,1,3,1,3,1,1,1,1,1,3,1994,1,2,2,1,2,8,29,32717,0
9/23/25 20:04,9/23/25 20:10,0,96.224.80.254,100,373,1,9/23/25 20:10,R_6YYbZAWuRPFaZki,,,,,40.7109,-73.7388,anonymous,EN,1,2,1,1,5,1,1,5,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,5,5,1,5,5,1,1,1,5,1,1,1,1,1,1,1994,1,2,2,1,2,8,32.5,32717,0
9/23/25 20:07,9/23/25 20:28,0,67.250.26.185,100,1286,1,9/23/25 20:28,R_7VsBfjZdEC3PsfD,,,,,40.6631,-73.7601,anonymous,EN,1,2,3,1,4,1,1,1,5,3,1,1,1,1,1,4,3,2,3,1,1,1,3,1,3,1,3,5,1,4,1,4,5,2,1,1,1,3,2006,1,2,1,1,1,3,35.5,32933,0
9/23/25 20:26,9/23/25 20:48,0,96.224.80.254,100,1293,1,9/23/25 20:48,R_3bWLGPwXws9sarL,,,,,40.7109,-73.7388,anonymous,EN,1,2,1,1,1,1,1,1,5,1,3,1,1,1,1,5,5,1,1,1,1,1,1,1,5,1,3,3,1,1,3,3,1,1,1,5,5,5,1994,1,2,2,1,1,8,45.5,32717,0
9/23/25 21:11,9/23/25 22:36,0,172.56.160.118,100,5139,1,9/23/25 22:36,R_3lJJOxT2UGSOCMS,,,,,40.6801,-73.9207,anonymous,EN,1,1,3,1,5,3,1,3,5,1,1,5,1,2,1,5,4,4,1,4,4,3,1,2,3,5,5,5,1,2,1,3,2,1,2,1,1,1,2003,2,2,2,2,3,6,22.5,32932,0
9/24/25 0:34,9/24/25 1:17,0,72.68.198.46,100,2536,1,9/24/25 1:17,R_18Oqi3lXxXngwCH,,,,,40.7513,-73.8244,anonymous,EN,1,3,1,2,5,1,1,1,5,2,2,3,1,3,2,3,5,2,2,1,2,1,4,2,1,2,4,5,2,3,1,4,1,1,2,3,3,3,2002,2,5,1,1,2,7,34.5,32710,0
9/24/25 8:57,9/24/25 9:06,0,172.56.167.23,100,531,1,9/24/25 9:06,R_39v1fidxdqrxvMc,,,,,40.6764,-73.8753,anonymous,EN,1,1,1,1,4,5,1,1,4,3,1,1,1,4,1,5,3,1,1,1,4,1,3,1,5,1,5,4,5,1,1,5,5,5,1,1,5,1,1998,2,2,1,2,2,4,26.5,32842,0
9/24/25 8:40,9/24/25 10:12,0,71.183.62.251,100,5479,1,9/24/25 10:12,R_3hscHiwWEx4jh4g,,,,,40.7681,-73.8291,anonymous,EN,1,1,1,5,4,1,1,1,5,4,1,1,1,1,1,1,4,5,5,1,4,5,5,1,5,5,1,5,1,5,1,1,1,1,1,1,1,1,1986,2,2,1,1,2,1,30.5,32793,0
9/24/25 15:11,9/24/25 15:30,0,71.249.117.192,100,1110,1,9/24/25 15:30,R_6Cw7BsnkiyYepOE,,,,,40.7015,-73.8422,anonymous,EN,1,1,1,1,5,1,1,1,4,2,1,1,1,4,1,2,4,1,4,1,1,1,1,2,1,4,1,4,1,1,1,5,5,2,1,3,2,3,1996,1,2,1,2,2,2,36.5,32822,0
9/24/25 19:37,9/24/25 19:55,0,68.193.81.134,100,1089,1,9/24/25 19:55,R_1EiqjxhMpYrZD2s,,,,,40.6877,-73.9267,anonymous,EN,1,3,2,1,5,4,3,4,4,1,1,4,1,3,3,4,4,4,3,1,4,1,1,2,4,4,2,5,2,2,2,3,2,3,2,3,4,2,2007,2,2,2,2,1,5,21,32683,0
9/24/25 20:36,9/24/25 21:07,0,47.230.114.165,100,1894,1,9/24/25 21:07,R_5FzcvuzYz1QW60o,,,,,40.698,-73.7623,anonymous,EN,1,1,1,1,5,4,2,1,3,5,3,3,1,3,1,4,4,1,2,2,4,1,5,2,2,2,3,5,5,1,2,5,2,2,5,1,5,4,2007,2,3,1,1,2,6,27.5,32631,0
9/24/25 21:24,9/24/25 21:32,0,74.108.229.26,100,500,1,9/24/25 21:32,R_6EXwRkn6Pma7xfK,,,,,40.7123,-73.7985,anonymous,EN,1,1,1,1,5,1,1,1,5,4,1,4,1,4,1,4,5,1,5,2,4,1,1,3,5,2,3,4,4,1,1,5,1,3,4,1,1,1,2005,2,2,1,1,1,6,26.5,32721,0
9/24/25 21:14,9/24/25 21:36,0,68.193.64.121,100,1348,1,9/24/25 21:36,R_6FwXekEit4BAGyx,,,,,40.6981,-73.7053,anonymous,EN,1,1,1,2,5,3,1,5,4,3,2,5,1,4,1,3,4,3,3,3,3,1,4,4,4,1,4,5,3,4,3,2,4,1,5,1,1,3,2007,2,2,1,1,1,3,21,32693,0
9/24/25 21:32,9/24/25 21:37,0,74.108.229.26,100,269,1,9/24/25 21:37,R_3R9uJGmOmyqjVle,,,,,40.7123,-73.7985,anonymous,EN,1,1,5,1,5,2,1,1,4,1,1,5,1,3,1,3,5,1,1,1,5,2,5,3,5,1,5,5,5,1,1,3,1,3,1,1,1,1,2005,2,2,1,1,1,6,26,32721,0
9/25/25 6:15,9/25/25 6:22,0,47.230.92.15,100,459,1,9/25/25 6:22,R_6aVr5eYghvR0tZI,,,,,40.6001,-73.7497,anonymous,EN,1,2,4,1,5,3,3,4,5,5,3,5,3,4,2,5,4,2,5,1,4,1,5,1,5,1,3,2,2,3,4,1,5,1,4,4,2,4,2006,2,2,1,2,2,6,26.5,32613,0
9/25/25 6:15,9/25/25 6:43,0,67.251.212.139,100,1661,1,9/25/25 6:43,R_1cC22cnlj3WRL6D,,,,,40.7297,-73.8163,anonymous,EN,1,2,1,1,5,3,1,5,4,1,1,1,1,5,1,5,5,4,4,4,3,1,3,1,5,1,4,5,4,1,1,2,1,5,1,1,4,3,2007,1,2,1,1,2,8,24,32762,0
9/25/25 6:18,9/25/25 7:11,0,68.173.50.59,100,3182,1,9/25/25 7:11,R_31dvJ5frAwlR92l,,,,,40.7537,-73.8892,anonymous,EN,1,2,1,3,5,5,1,3,4,1,4,4,2,1,3,3,2,4,2,3,3,3,4,4,5,2,3,5,1,1,1,1,1,2,1,5,1,1,2007,2,2,2,3,3,7,22,32866,0
9/25/25 8:12,9/25/25 8:29,0,149.4.122.10,100,962,1,9/25/25 8:29,R_7L1tjkNNIn7aECn,,,,,40.7297,-73.8163,anonymous,EN,1,1,3,1,5,2,1,3,4,5,1,3,1,5,1,5,5,3,1,1,5,1,4,1,5,1,2,5,4,1,1,1,1,1,1,2,5,4,2007,2,2,1,1,2,4,27.5,32677,0
9/25/25 9:00,9/25/25 10:12,0,172.56.161.142,100,4278,1,9/25/25 10:12,R_6ANLT4LO1JjE9LG,,,,,40.7035,-73.9235,anonymous,EN,1,1,3,1,5,4,1,4,5,4,2,5,1,5,2,4,5,1,2,2,4,1,5,2,5,4,2,5,1,3,4,5,5,5,3,1,5,1,2007,2,2,1,1,2,7,20,32659,0
9/18/25 20:29,9/25/25 11:25,0,149.4.116.2,100,572171,1,9/25/25 11:25,R_7fP5lwYpxmSJsDb,,,,,40.7465,-73.909,anonymous,EN,1,1,1,1,5,1,1,3,5,1,1,3,1,1,2,3,5,1,4,2,3,2,1,1,1,1,1,1,3,1,1,1,5,2,1,4,5,1,2004,2,1,1,3,3,,40,32723,0
9/25/25 12:58,9/25/25 13:03,0,149.4.106.116,100,343,1,9/25/25 13:03,R_6oEixvRlI5saHn3,,,,,40.7584,-73.7973,anonymous,EN,1,1,1,1,5,4,2,1,5,5,1,5,4,5,1,5,2,5,1,3,5,3,5,3,1,,5,5,4,1,3,5,1,3,5,3,1,3,2007,2,2,2,2,1,6,13,32681,0
9/25/25 11:50,9/25/25 14:05,0,149.4.124.3,100,8104,1,9/25/25 14:05,R_39jZXR6JdtRloGZ,,,,,40.7341,-73.7962,anonymous,EN,1,1,4,2,5,3,1,1,5,5,2,5,3,4,1,3,5,3,4,4,4,3,4,4,2,4,4,5,5,3,1,4,5,2,2,2,5,4,2007,2,2,1,2,2,4,23,32736,0
9/18/25 19:11,9/18/25 19:11,0,162.84.137.185,6,14,0,9/25/25 19:11,R_7dzx0WRiPXIS3Tf,,,,,40.694,-73.9901,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9725,0
9/18/25 20:00,9/18/25 20:00,0,66.108.198.4,6,10,0,9/25/25 20:00,R_3170Kyvylk2Fdbk,,,,,40.6758,-73.8163,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32652,0
9/18/25 19:58,9/18/25 20:06,0,67.243.179.105,6,484,0,9/25/25 20:06,R_1jiKUlpFfOezoyJ,,,,,40.7484,-73.862,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32893,0
9/19/25 7:45,9/19/25 8:04,0,72.43.134.117,7,1152,0,9/26/25 8:04,R_5G7KoMOvujnUsdo,,,,,40.7681,-73.8291,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32922,0
9/22/25 12:02,9/26/25 10:53,0,24.146.198.30,100,341500,1,9/26/25 10:53,R_3JLQdcmm2PiM9jJ,,,,,40.7506,-73.583,anonymous,EN,1,1,1,1,5,3,1,1,5,5,1,1,1,5,2,3,4,5,5,2,1,1,5,1,4,3,3,5,1,4,1,5,5,1,2,2,5,4,2007,2,2,1,3,2,2,34,32647,0
9/26/25 10:51,9/26/25 12:01,0,108.54.163.34,100,4207,1,9/26/25 12:01,R_5fdjgX9wqWpHiFm,,,,,40.7132,-73.7671,anonymous,EN,1,1,1,4,5,2,1,5,5,5,1,1,1,4,4,5,4,5,5,1,4,1,5,2,5,1,5,5,5,5,4,5,5,3,1,1,5,5,2007,1,2,1,1,1,6,29,32790,0
9/19/25 12:07,9/19/25 12:07,0,108.29.122.85,6,6,0,9/26/25 12:07,R_51d9wagdWEkr7jX,,,,,40.7196,-73.7463,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32795,0
9/19/25 12:08,9/19/25 12:14,0,149.4.123.243,83,366,0,9/26/25 12:14,R_5gwlZ4wfPK9WUFO,,,,,40.7297,-73.8163,anonymous,EN,1,3,1,5,5,5,1,1,1,1,1,1,1,5,1,1,5,1,5,1,1,1,5,4,1,5,1,5,5,5,5,1,1,5,1,4,1,5,,,,,,,,29,32752,0
9/19/25 17:09,9/19/25 17:10,0,162.84.137.185,45,22,0,9/26/25 17:10,R_724GYASftJ5OncI,,,,,40.694,-73.9901,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
